group,var1,var2,,,
Miyagi,23270,122.7,岩手県奥州市,," {long: 501, lat: 43, group: ""A"", size: 62}, // Hokkaido"
Akita,6672,138.4,岩手県奥州市,,"  {long: 500.8, lat: 40.8, group: ""A"", size: 42}, // Aomori"
Yamagata,4085,110.4,福島県耶麻郡磐梯町,,"  {long: 501.3, lat: 39.9, group: ""A"", size: 21}, // Iwate"
Tochigi,32950,72.8,茨城県常総市,,"  {long: 501, lat: 38.5, group: ""B"", size: 36}, // Miyagi"
Gunma,15317,142.2,茨城県常総市,,"   {long: 500.3, lat: 39.9, group: ""B"", size: 10}, // Akita"
Saitama,2890,27.4,東京都新宿区,,"  {long: 500.3, lat: 38.3, group: ""B"", size: 6}, // Yamagata"
Chiba,26991,40.8,東京都千代田区,,"  {long: 500.5, lat: 37.8, group: ""A"", size: 62}, // Fukushima"
Nigata,7540,106.9,福島県庁,,"  {long: 500.5, lat: 37.1, group: ""A"", size: 87}, // Ibaraki"
Ishikawa,4856,52.1,富山県高岡市,,"  {long: 500, lat: 36.7, group: ""B"", size: 51}, // Tochigi"
Fukui,1296,135.8,富山県高岡市,,"  {long: 499, lat: 36.6, group: ""B"", size: 24}, // Gunma"
Yamanashi,3829,62.4,静岡県富士宮市,,"  {long: 499.4, lat: 36, group: ""B"", size: 4}, // Saitama"
Nagano,8202,202.6,富山県高岡市,,"  {long: 500.1, lat: 35.6, group: ""B"", size: 42}, // Chiba"
Gifu,2423,45,愛知県名古屋市,,"  {long: 499.5, lat: 35.6, group: ""A"", size: 1}, // Tokyo"
Mie,31604,87.3,愛知県名古屋市,,"  {long: 499.7, lat: 35.4, group: ""A"", size: 6}, // Kanagawa"
Shiga,2363,121.8,愛知県名古屋市,,"  {long: 499, lat: 37.6, group: ""B"", size: 12}, // Nigata"
Kyoto,3696,34.8,大阪府寝屋川市,,"  {long: 497.4, lat: 36.7, group: ""A"", size: 3}, // Toyama"
Hyogo,30330,54.8,大阪府寝屋川市,,"  {long: 496.5, lat: 36.5, group: ""B"", size: 7}, // Ishikawa"
Nara,4838,26.8,大阪府寝屋川市,,"  {long: 496.1, lat: 36, group: ""B"", size: 2}, // Fukui"
Wakayama,10552,89.8,大阪府寝屋川市,,"  {long: 498.4, lat: 35.7, group: ""B"", size: 6}, // Yamanashi"
Tottori,8213,133.5,岡山県岡山市,,"  {long: 498.4, lat: 37.1, group: ""B"", size: 13}, // Nagano"
Shimane,2271,151.7,広島県東広島市,,"  {long: 496.4, lat: 35.4, group: ""B"", size: 4}, // Gifu"
Yamaguchi,22840,92.6,福岡県北九州市,,"  {long: 498.2, lat: 35, group: ""A"", size: 28}, // Shizuoka"
Tokushima,4958,166.3,大阪府寝屋川市,,"  {long: 496.9, lat: 35, group: ""A"", size: 39}, // Aichi"
Kagawa,4647,158,愛媛県松山市,,"  {long: 496.5, lat: 34.6, group: ""B"", size: 49}, // Mie"
Kochi,5157,155.6,愛媛県松山市,,"  {long: 496, lat: 34.9, group: ""B"", size: 4}, // Shiga"
Saga,5253,122.5,福岡県北九州市,,"  {long: 495.5, lat: 35.1, group: ""B"", size: 6}, // Kyoto"
Nagasaki,13396,212,福岡県北九州市,,"  {long: 495.2, lat: 34.8, group: ""A"", size: 13}, // Osaka"
Kumamoto,12409,123.3,宮崎県小林市,,"  {long: 494.8, lat: 34.8, group: ""B"", size: 47}, // Hyogo"
Oita,22805,125.2,福岡県北九州市,,"  {long: 495.5, lat: 34.8, group: ""B"", size: 7}, // Nara"
Kagoshima,33752,97.7,宮崎県小林市,,"  {long: 495.5, lat: 34.1, group: ""B"", size: 16}, // Wakayama"
Okinawa,958,859.2,宮崎県小林市,,"  {long: 494, lat: 35.5, group: ""B"", size: 13}, // Tottori"
,,,,,"  {long: 493, lat: 35.5, group: ""B"", size: 3}, // Shimane"
,,,,,"  {long: 493.7, lat: 34.7, group: ""A"", size: 58}, // Okayama"
,,,,,"  {long: 492.6, lat: 34.4, group: ""A"", size: 16}, // Hiroshima"
,,,,,"  {long: 491.4, lat: 34.4, group: ""B"", size: 35}, // Yamaguhi"
,,,,,"  {long: 494.4, lat: 34, group: ""B"", size:8}, // Tokushima"
,,,,,"  {long: 494, lat: 34.1, group: ""B"", size: 7}, // Kagawa"
,,,,,"  {long: 492.8, lat: 33.8, group: ""A"", size: 16}, // Ehime"
,,,,,"  {long: 493.4, lat: 33.5, group: ""B"", size: 8}, // Kochi"
,,,,,"  {long: 490.6, lat: 33.7, group: ""A"", size: 50}, // Fukuoka"
,,,,,"  {long: 490, lat: 33.3, group: ""B"", size: 8}, // Saga"
,,,,,"  {long: 490, lat: 32.8, group: ""B"", size: 21}, // Nagasaki"
,,,,,"  {long: 490.4, lat: 32.5, group: ""B"", size: 19}, // Kumamoto"
,,,,,"  {long: 491.6, lat: 33, group: ""B"", size: 35}, // Oita"
,,,,,"  {long: 491.4, lat: 31.9, group: ""A"", size: 22}, // Miyazaki"
,,,,,"  {long: 490.4, lat: 31.6, group: ""B"", size: 52}, // Kagoshima"
