year,Miyagi,Akita,Yamagata,Tochigi,Gunma,Saitama,Chiba,Nigata,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Mie,Shiga,Kyoto,Hyogo,Nara,Wakayama,Tottori,Shimane,Yamaguchi,Tokushima,Kagawa,Kochi,Saga,Nagasaki,Kumamoto,Oita,Kagoshima,Okinawa
2035,0.010197264,0.003298017,0.001610525,0.008567013,0.00777901,0.00028277,0.003932993,0.002878799,0.000903512,0.000628367,0.000853225,0.005934743,0.000389395,0.009853722,0.001028001,0.000459393,0.00593603,0.000463106,0.003384269,0.003916073,0.001230581,0.007553628,0.002944893,0.00262227,0.002865676,0.002298112,0.010142677,0.005464479,0.01019728,0.011777161,0.002938703
2036,0.020394529,0.006596034,0.003221049,0.017134026,0.015558019,0.00056554,0.007865985,0.005757598,0.001807024,0.001256734,0.001706451,0.011869487,0.00077879,0.019707445,0.002056002,0.000918786,0.011872061,0.000926212,0.006768537,0.007832145,0.002461163,0.015107255,0.005889785,0.005244539,0.005731352,0.004596223,0.020285354,0.010928958,0.020394559,0.023554321,0.005877406
2037,0.030591793,0.009894051,0.004831574,0.02570104,0.023337029,0.00084831,0.011798978,0.008636396,0.002710536,0.001885101,0.002559676,0.01780423,0.001168186,0.029561167,0.003084003,0.001378179,0.017808091,0.001389318,0.010152806,0.011748218,0.003691744,0.022660883,0.008834678,0.007866809,0.008597028,0.006894335,0.030428032,0.016393437,0.030591839,0.035331482,0.00881611
2038,0.061183587,0.019788103,0.009663147,0.051402079,0.046674058,0.00169662,0.023597956,0.017272793,0.005421072,0.003770203,0.005119352,0.03560846,0.002336371,0.059122335,0.006168006,0.002756359,0.035616183,0.002778637,0.020305611,0.023496436,0.007383488,0.045321766,0.017669356,0.015733617,0.017194057,0.013788669,0.060856063,0.032786874,0.061183678,0.070662964,0.017632219
2039,0.142761702,0.04617224,0.022547344,0.119938185,0.108906136,0.00395878,0.055061898,0.040303183,0.012649168,0.00879714,0.011945154,0.083086407,0.005451533,0.137952115,0.014392013,0.006431504,0.083104426,0.006483485,0.04737976,0.054825017,0.017228138,0.105750788,0.041228497,0.036711774,0.040119465,0.032173561,0.141997481,0.076502705,0.142761914,0.16488025,0.041141845
2040,0.159077326,0.051449067,0.025124183,0.133645406,0.121352551,0.004411212,0.061354687,0.044909261,0.014094787,0.009802527,0.013310314,0.092581996,0.006074565,0.153718071,0.016036815,0.007166533,0.092602075,0.007224455,0.05279459,0.061090733,0.019197068,0.117836593,0.045940325,0.040907405,0.044704547,0.03585054,0.158225764,0.085245871,0.159077562,0.183723707,0.04584377
2041,0.163156231,0.052768274,0.025768393,0.137072211,0.124464155,0.00452432,0.062927884,0.04606078,0.014456192,0.010053874,0.013651604,0.094955894,0.006230323,0.15765956,0.016448015,0.00735029,0.094976487,0.007409698,0.054148297,0.062657163,0.019689301,0.120858044,0.047118282,0.041956313,0.045850817,0.036769784,0.162282835,0.087431663,0.163156474,0.188434572,0.047019251
2042,0.163156231,0.052768274,0.025768393,0.137072211,0.124464155,0.00452432,0.062927884,0.04606078,0.014456192,0.010053874,0.013651604,0.094955894,0.006230323,0.15765956,0.016448015,0.00735029,0.094976487,0.007409698,0.054148297,0.062657163,0.019689301,0.120858044,0.047118282,0.041956313,0.045850817,0.036769784,0.162282835,0.087431663,0.163156474,0.188434572,0.047019251
2043,0.163156231,0.052768274,0.025768393,0.137072211,0.124464155,0.00452432,0.062927884,0.04606078,0.014456192,0.010053874,0.013651604,0.094955894,0.006230323,0.15765956,0.016448015,0.00735029,0.094976487,0.007409698,0.054148297,0.062657163,0.019689301,0.120858044,0.047118282,0.041956313,0.045850817,0.036769784,0.162282835,0.087431663,0.163156474,0.188434572,0.047019251
2044,0.163156231,0.052768274,0.025768393,0.137072211,0.124464155,0.00452432,0.062927884,0.04606078,0.014456192,0.010053874,0.013651604,0.094955894,0.006230323,0.15765956,0.016448015,0.00735029,0.094976487,0.007409698,0.054148297,0.062657163,0.019689301,0.120858044,0.047118282,0.041956313,0.045850817,0.036769784,0.162282835,0.087431663,0.163156474,0.188434572,0.047019251
